wave,year,happening,cause_recoded,sci_consensus,worry,harm_personally,harm_US,harm_dev_countries,harm_future_gen,harm_plants_animals,when_harm_US,reg_CO2_pollutant,reg_utilities,fund_research,discuss_GW,gender,age_category,educ_category,income_category,race,party_x_ideo,region4,employment,happening_cont,worry_cont,happening_labels,age_category_labels,educ_category_labels,income_category_labels
5,2011,3,human,disagreement,2,2,3,3,4,4,6,3,2,3,3,male,2,3,2,white non hisp,no interest,northeast,Working –as a paid employee,3.5560413526221915,1.8893599478852068,yes,35-54,college,50000-99999
5,2011,3,natural and human,happening,3,2,2,2,3,3,4,3,3,3,2,female,3,2,3,white non hisp,moderate democrate,northeast,Working –as a paid employee,3.8638611831476553,2.90229053612474,yes,55+,highschool,more 100000
5,2011,3,natural,happening,3,2,2,2,4,4,3,3,3,3,1,female,3,3,1,white non hisp,moderate democrate,south,Not working –retired,2.1586172067055855,2.3079439075967993,yes,55+,college,less 50000
5,2011,3,natural and human,dont know,2,0,0,0,0,0,6,2,2,3,1,male,1,1,3,white non hisp,no interest,midwest,Not working –other,2.9848327649628184,2.1467418546979355,yes,18-34,no highschool,more 100000
5,2011,1,natural and human,disagreement,1,1,1,0,3,3,2,2,2,4,1,female,3,4,3,white non hisp,liberal democrat,midwest,Working –as a paid employee,1.4939138765838575,1.114681624094555,no,55+,bachelor or higher,more 100000
5,2011,2,not happening,dont know,2,1,1,0,0,0,1,3,1,2,1,male,3,1,1,white non hisp,moderate republican,south,Not working –disabled,1.1956826340878675,2.3173614041304496,dont know,55+,no highschool,less 50000
5,2011,1,natural,disagreement,1,1,1,1,1,1,2,1,3,3,2,female,3,3,1,white non hisp,conservative republican,south,Working –as a paid employee,1.8092900455701213,0.06540074374661653,no,55+,college,less 50000
5,2011,2,natural and human,happening,2,0,0,0,0,0,5,2,2,2,1,male,1,3,1,white non hisp,moderate democrate,south,Working –as a paid employee,2.1086547554513677,2.2631443227328063,dont know,18-34,college,less 50000
5,2011,3,natural and human,happening,3,3,2,0,2,0,6,3,2,3,3,male,3,4,3,black non hisp,moderate democrate,south,Working –as a paid employee,1.6237468008389422,1.840710009032914,yes,55+,bachelor or higher,more 100000
5,2011,3,natural,dont know,3,0,0,0,3,3,2,3,4,4,2,female,3,3,3,white non hisp,moderate democrate,west,Not working –retired,3.8575785252364545,3.2795616528531832,yes,55+,college,more 100000
5,2011,3,natural,happening,3,2,3,3,4,4,6,3,3,3,2,female,2,3,2,white non hisp,conservative republican,midwest,Working –as a paid employee,2.9501542274092807,3.3899363016992554,yes,35-54,college,50000-99999
5,2011,1,not happening,disagreement,1,1,1,1,1,1,1,3,1,1,2,male,1,3,2,white non hisp,conservative republican,midwest,Working –as a paid employee,0.5213793905490747,1.0354291827956246,no,18-34,college,50000-99999
5,2011,3,natural and human,happening,4,2,3,3,4,4,6,4,3,-1,3,female,3,4,1,white non hisp,liberal democrat,south,Working –self-employe,2.4734138789821984,4.07924416643955,yes,55+,bachelor or higher,less 50000
5,2011,1,natural,disagreement,2,2,2,2,2,2,3,3,3,3,2,male,3,2,1,white non hisp,independent,northeast,Not working –retired,0.692306738619348,1.8929777154994933,no,55+,highschool,less 50000
5,2011,1,not happening,disagreement,2,1,1,1,1,1,1,2,1,2,2,female,3,2,1,white non hisp,conservative republican,midwest,Not working –retired,0.17562710257386838,2.173556922867964,no,55+,highschool,less 50000
5,2011,3,natural and human,disagreement,4,3,4,4,4,4,6,4,4,4,2,female,2,4,3,white non hisp,liberal democrat,south,Working –as a paid employee,2.534319586211563,3.6359403750644286,yes,35-54,bachelor or higher,more 100000
5,2011,3,natural,happening,2,1,1,2,3,2,3,3,2,4,2,male,2,4,2,white non hisp,moderate republican,south,Not working –retired,3.083485282796732,0.4106425728176464,yes,35-54,bachelor or higher,50000-99999
5,2011,3,natural and human,happening,4,2,3,3,4,3,3,4,3,4,2,male,1,2,1,white non hisp,moderate republican,south,Working –as a paid employee,2.7056484887699828,3.956090415461189,yes,18-34,highschool,less 50000
5,2011,1,natural,not happening,1,1,1,0,0,2,1,3,1,2,4,female,3,4,1,white non hisp,conservative republican,west,Not working –retired,1.0526600673592017,0.8771676120783078,no,55+,bachelor or higher,less 50000
5,2011,3,natural and human,happening,3,3,3,3,3,3,6,2,2,2,2,male,2,1,3,hisp,liberal democrat,midwest,Not working –looking,2.97712810045247,3.1350891543490076,yes,35-54,no highschool,more 100000
5,2011,2,not happening,dont know,1,0,0,0,0,0,6,-1,-1,-1,1,female,2,2,1,hisp,no interest,midwest,Not working –disabled,2.12993842336373,1.271321786096231,dont know,35-54,highschool,less 50000
5,2011,2,natural,disagreement,2,0,0,0,0,0,4,4,1,3,1,male,2,3,1,white non hisp,liberal democrat,midwest,Working –as a paid employee,1.438526453115323,2.161818573116331,dont know,35-54,college,less 50000
5,2011,3,natural and human,happening,3,4,4,4,4,4,6,4,4,4,2,male,1,3,1,black non hisp,no interest,south,Not working –looking,3.4578902314002686,2.28808373131667,yes,18-34,college,less 50000
5,2011,3,natural and human,disagreement,2,3,3,3,3,3,6,4,2,-1,3,female,3,2,1,black non hisp,moderate democrate,south,Not working –disabled,2.916887516179184,2.461194027543194,yes,55+,highschool,less 50000
5,2011,3,natural,dont know,3,4,4,4,4,4,6,2,1,3,2,female,2,2,1,hisp,independent,south,Not working –disabled,2.3692015611872996,3.053915217268917,yes,35-54,highschool,less 50000
5,2011,3,natural and human,disagreement,3,3,3,3,4,4,6,3,2,4,2,female,3,4,3,white non hisp,conservative republican,west,Working –as a paid employee,2.4455890966182934,4.1026555657996395,yes,55+,bachelor or higher,more 100000
5,2011,2,natural and human,disagreement,3,3,3,2,3,3,4,3,3,2,1,female,3,2,1,white non hisp,independent,northeast,Working –self-employe,1.5176578417547306,2.9255210220079193,dont know,55+,highschool,less 50000
5,2011,1,natural,happening,2,0,0,0,0,0,3,3,2,3,1,male,2,2,3,white non hisp,independent,midwest,Working –as a paid employee,0.6407002147221651,2.1592152795600286,no,35-54,highschool,more 100000
5,2011,3,human,disagreement,3,2,3,3,4,4,2,3,4,4,2,female,1,4,2,white non hisp,conservative republican,midwest,Not working –other,2.973626893685812,2.5595660872722448,yes,18-34,bachelor or higher,50000-99999
5,2011,2,human,happening,2,2,4,3,4,4,3,-1,1,-1,1,female,1,4,1,white non hisp,conservative republican,south,Working –as a paid employee,1.8797912531886956,2.400829388965485,dont know,18-34,bachelor or higher,less 50000
5,2011,3,natural,disagreement,4,4,4,4,4,4,5,1,2,3,1,female,3,2,1,black non hisp,moderate democrate,south,Working –as a paid employee,3.449190560665929,3.302000720676805,yes,55+,highschool,less 50000
5,2011,3,natural and human,disagreement,3,3,3,4,4,4,3,4,3,4,2,male,2,3,1,hisp,moderate democrate,midwest,Working –as a paid employee,3.0565931818316634,3.406318173545977,yes,35-54,college,less 50000
5,2011,2,not happening,not happening,2,2,0,0,0,0,-1,3,2,2,1,male,2,4,3,white non hisp,conservative republican,midwest,Working –as a paid employee,1.9988146399858602,3.161945072551802,dont know,35-54,bachelor or higher,more 100000
5,2011,3,natural and human,disagreement,2,2,2,2,3,3,4,2,2,4,2,female,1,4,3,white non hisp,moderate republican,west,Working –as a paid employee,3.6069766659140914,2.39717049698903,yes,18-34,bachelor or higher,more 100000
5,2011,3,natural and human,not happening,3,3,2,1,2,2,4,3,3,3,2,female,1,4,1,hisp,refused,northeast,Working –as a paid employee,3.171666102256219,3.553577945876527,yes,18-34,bachelor or higher,less 50000
5,2011,3,natural and human,disagreement,3,0,4,0,4,4,6,4,4,4,3,female,2,3,1,white non hisp,moderate democrate,west,Not working –disabled,3.607077717285482,2.783053202666213,yes,35-54,college,less 50000
5,2011,2,natural,disagreement,2,0,0,0,0,0,5,3,3,4,2,female,1,4,1,white non hisp,no interest,west,Not working –looking,2.0583954214831217,2.9205911862929077,dont know,18-34,bachelor or higher,less 50000
5,2011,3,natural and human,disagreement,3,2,2,2,2,3,6,4,3,4,3,female,2,3,1,white non hisp,liberal democrat,northeast,Working –as a paid employee,2.827736579355245,3.3653924030662763,yes,35-54,college,less 50000
5,2011,2,natural,dont know,2,-1,3,3,3,3,5,2,1,2,2,female,2,2,1,white non hisp,moderate democrate,midwest,Working –as a paid employee,2.1900904648856017,1.9677315279139431,dont know,35-54,highschool,less 50000
5,2011,1,not happening,not happening,1,1,1,1,1,1,1,3,2,3,3,male,3,3,1,white non hisp,conservative republican,midwest,Working –as a paid employee,0.7774548405260779,0.9806301261464149,no,55+,college,less 50000
5,2011,1,natural and human,disagreement,2,1,1,1,1,1,2,2,1,3,2,male,1,2,1,white non hisp,independent,northeast,Working –as a paid employee,0.4568006356243267,2.3273758100875295,no,18-34,highschool,less 50000
5,2011,2,natural and human,happening,3,3,4,4,4,4,6,3,2,3,2,male,3,3,2,white non hisp,conservative republican,south,Working –as a paid employee,1.3871513223501242,2.957131766029493,dont know,55+,college,50000-99999
5,2011,3,natural,not happening,3,2,2,2,2,2,6,2,2,2,3,male,2,2,1,black non hisp,moderate democrate,northeast,Working –as a paid employee,3.2181677524883647,3.110923654264193,yes,35-54,highschool,less 50000
5,2011,3,natural,disagreement,2,1,1,1,4,4,4,4,4,3,3,female,3,4,1,white non hisp,moderate democrate,midwest,Not working –disabled,2.8896032108085095,2.3364019022933524,yes,55+,bachelor or higher,less 50000
5,2011,1,natural and human,disagreement,2,3,3,4,4,4,2,1,1,1,1,female,2,4,3,white non hisp,conservative republican,midwest,Working –as a paid employee,-0.07445764860082238,2.368214994744611,no,35-54,bachelor or higher,more 100000
5,2011,3,natural and human,happening,3,1,3,4,4,4,6,4,4,4,2,male,2,2,3,white non hisp,liberal democrat,midwest,Working –as a paid employee,4.204087392573563,3.024068088312445,yes,35-54,highschool,more 100000
5,2011,3,natural,disagreement,2,0,0,0,2,2,1,3,3,4,1,male,3,2,1,white non hisp,moderate republican,south,Not working –retired,2.5594832257517437,2.0184590214888103,yes,55+,highschool,less 50000
5,2011,1,natural,disagreement,1,2,2,2,2,2,1,3,2,4,1,female,2,3,3,white non hisp,conservative republican,south,Working –as a paid employee,1.3706157573074134,1.2725069250252095,no,35-54,college,more 100000
5,2011,2,natural and human,disagreement,3,2,3,3,2,-1,6,3,2,2,3,female,1,3,2,white non hisp,moderate democrate,midwest,Working –as a paid employee,1.999874741481827,2.7375423307352906,dont know,18-34,college,50000-99999
5,2011,3,natural and human,happening,3,0,0,0,0,0,2,2,4,4,2,male,1,3,2,white non hisp,no interest,south,Working –as a paid employee,3.123238982284905,2.605367218508331,yes,18-34,college,50000-99999
5,2011,3,natural,happening,4,1,4,4,4,4,2,1,1,1,3,female,3,1,1,white non hisp,moderate democrate,south,Not working –disabled,2.6103215335278422,4.564618679448814,yes,55+,no highschool,less 50000
5,2011,3,natural,dont know,2,2,2,3,3,4,2,2,1,2,1,female,1,3,1,black non hisp,moderate democrate,south,Working –as a paid employee,2.8313740879921117,1.867393487732257,yes,18-34,college,less 50000
5,2011,3,natural and human,disagreement,3,2,2,2,3,4,2,4,4,4,3,female,2,2,3,white non hisp,moderate democrate,south,Working –as a paid employee,2.612112122457352,2.461790410731391,yes,35-54,highschool,more 100000
5,2011,1,natural and human,dont know,2,1,0,0,0,3,2,3,4,4,1,male,2,2,1,black non hisp,independent,midwest,Not working –disabled,1.3317231241310221,2.315542807277544,no,35-54,highschool,less 50000
5,2011,2,natural and human,dont know,3,0,0,0,0,0,6,3,3,3,1,female,1,2,1,white non hisp,no interest,south,Not working –other,2.0993020282396437,2.9477749668651385,dont know,18-34,highschool,less 50000
5,2011,3,natural and human,happening,4,2,4,4,4,4,5,4,3,4,3,male,3,4,3,white non hisp,liberal democrat,northeast,Not working –retired,3.0114448324922787,4.518363856601515,yes,55+,bachelor or higher,more 100000
5,2011,2,natural,disagreement,3,0,0,0,0,0,2,3,3,4,2,female,3,3,2,white non hisp,moderate republican,west,Not working –other,2.2019441629888776,3.0893238246655117,dont know,55+,college,50000-99999
5,2011,3,natural and human,happening,4,4,4,4,4,4,6,-1,-1,-1,4,male,3,1,2,white non hisp,moderate democrate,midwest,Not working –retired,3.8282824563841427,4.215657922762709,yes,55+,no highschool,50000-99999
5,2011,3,natural,disagreement,2,2,2,1,-1,4,4,4,4,4,1,male,3,3,1,white non hisp,moderate democrate,northeast,Not working –retired,2.49458819066394,1.6293052341303436,yes,55+,college,less 50000
5,2011,3,natural and human,happening,3,3,3,4,4,3,6,2,3,3,3,male,3,2,1,white non hisp,liberal democrat,northeast,Not working –retired,3.432194994266549,2.8608026795095487,yes,55+,highschool,less 50000
5,2011,3,natural and human,disagreement,4,3,3,3,4,4,5,3,3,-1,2,female,2,2,2,white non hisp,moderate democrate,midwest,Working –self-employe,3.315743965675776,3.279229687110577,yes,35-54,highschool,50000-99999
5,2011,3,natural,disagreement,1,2,2,2,-1,2,1,3,2,4,3,female,3,2,2,white non hisp,conservative republican,south,Not working –retired,3.4299810600641023,1.916628519323576,yes,55+,highschool,50000-99999
5,2011,3,natural and human,happening,3,3,3,3,3,3,3,3,3,3,1,male,1,2,1,hisp,moderate democrate,west,Working –as a paid employee,3.338696880712118,2.9090209304439485,yes,18-34,highschool,less 50000
5,2011,1,natural and human,dont know,2,1,2,1,3,2,1,3,1,3,1,female,2,3,3,white non hisp,no interest,midwest,Working –as a paid employee,1.8076137405441701,2.2896625046744488,no,35-54,college,more 100000
5,2011,3,natural,happening,3,4,4,4,4,4,6,4,4,4,2,male,3,2,2,hisp,moderate democrate,south,Not working –disabled,3.0905477011334743,3.1826183352424167,yes,55+,highschool,50000-99999
5,2011,3,natural,disagreement,2,2,3,2,3,2,3,3,3,2,2,male,2,3,1,white non hisp,independent,west,Working –as a paid employee,3.240876513028243,2.326830228287432,yes,35-54,college,less 50000
5,2011,3,natural and human,disagreement,3,3,3,3,4,4,5,3,3,3,3,female,3,3,2,black non hisp,moderate democrate,northeast,Not working –retired,3.3976518531773947,3.331987918172613,yes,55+,college,50000-99999
5,2011,3,natural and human,not happening,3,2,3,4,4,4,3,4,4,4,3,male,3,4,2,white non hisp,liberal democrat,northeast,Not working –retired,2.944886701612722,2.6604030775244674,yes,55+,bachelor or higher,50000-99999
5,2011,3,natural,happening,4,2,2,2,2,2,6,1,1,1,1,female,1,2,1,white non hisp,no interest,south,Not working –disabled,3.466826206318113,3.904281518956052,yes,18-34,highschool,less 50000
5,2011,2,natural,dont know,2,1,2,1,2,2,3,3,3,3,2,male,3,2,2,white non hisp,moderate republican,midwest,Working –self-employe,2.5816372063723256,2.4817489349426545,dont know,55+,highschool,50000-99999
5,2011,2,natural and human,happening,2,0,0,0,0,0,2,3,1,3,1,female,2,2,1,white non hisp,moderate democrate,south,Not working –disabled,2.5758311987693325,2.196622094823934,dont know,35-54,highschool,less 50000
5,2011,3,natural,happening,2,1,1,3,3,3,4,3,3,3,1,female,3,2,2,white non hisp,moderate democrate,midwest,Working –as a paid employee,2.940891567684897,2.5393168421644177,yes,55+,highschool,50000-99999
5,2011,2,natural and human,dont know,4,4,4,4,-1,-1,6,3,2,3,3,female,3,2,1,hisp,moderate democrate,south,Working –as a paid employee,2.7207424903301094,4.190874771631445,dont know,55+,highschool,less 50000
5,2011,3,natural and human,dont know,3,2,3,2,4,4,3,4,4,3,2,female,3,2,2,white non hisp,independent,northeast,Not working –retired,2.242143785260705,2.3170266079651363,yes,55+,highschool,50000-99999
5,2011,3,natural and human,dont know,2,0,0,0,0,0,3,-1,-1,-1,1,male,1,4,2,white non hisp,refused,south,Working –as a paid employee,3.1116677033831226,1.08363470114492,yes,18-34,bachelor or higher,50000-99999
5,2011,2,natural,dont know,1,1,1,1,0,0,1,3,3,1,1,male,2,1,1,white non hisp,conservative republican,south,Not working –looking,1.8890925212229481,1.4142159523653024,dont know,35-54,no highschool,less 50000
5,2011,3,natural and human,happening,4,2,4,4,4,4,6,4,3,3,2,male,2,2,2,white non hisp,moderate democrate,northeast,Working –as a paid employee,1.807552867511092,3.60623347153146,yes,35-54,highschool,50000-99999
5,2011,3,natural,dont know,2,0,0,0,0,0,6,1,2,3,1,female,3,3,3,white non hisp,moderate democrate,northeast,Working –as a paid employee,2.856498278905711,1.9513847197008043,yes,55+,college,more 100000
5,2011,3,natural and human,happening,4,2,4,4,4,4,6,4,4,4,4,female,2,4,2,white non hisp,liberal democrat,northeast,Working –as a paid employee,1.9732146128619554,4.115206183475917,yes,35-54,bachelor or higher,50000-99999
5,2011,3,natural,happening,2,2,2,2,3,3,6,3,3,4,2,male,1,3,3,white non hisp,liberal democrat,west,Working –as a paid employee,2.9224498372603653,2.4586877988796374,yes,18-34,college,more 100000
5,2011,3,natural and human,happening,3,2,3,3,3,3,6,3,3,4,2,female,2,4,2,white non hisp,moderate democrate,northeast,Working –as a paid employee,2.3277034038427717,2.4201310219908576,yes,35-54,bachelor or higher,50000-99999
5,2011,3,natural and human,disagreement,4,1,3,4,4,4,4,4,4,4,2,female,3,2,2,white non hisp,independent,northeast,Not working –other,3.33183031049825,4.258855406824794,yes,55+,highschool,50000-99999
5,2011,3,natural,happening,3,3,3,3,3,3,5,3,3,3,3,male,3,3,1,other non hisp,moderate democrate,west,Not working –temporary,2.3215716207751766,2.407576372618405,yes,55+,college,less 50000
5,2011,3,natural,disagreement,2,2,2,2,2,2,5,2,2,2,2,female,2,2,1,white non hisp,no interest,midwest,Working –as a paid employee,2.5971794585981343,1.7131914687814658,yes,35-54,highschool,less 50000
5,2011,3,natural,happening,3,2,3,2,4,4,3,3,4,4,2,female,2,3,2,white non hisp,moderate democrate,northeast,Working –as a paid employee,2.936732940777929,2.3673943311047063,yes,35-54,college,50000-99999
5,2011,3,natural and human,disagreement,2,2,2,2,3,3,2,2,1,3,2,male,1,1,1,white non hisp,moderate democrate,west,Not working –other,2.5958776593992243,1.9712561776646333,yes,18-34,no highschool,less 50000
5,2011,3,natural,disagreement,3,4,4,4,4,4,4,4,4,4,3,male,1,3,2,black non hisp,liberal democrat,south,Working –as a paid employee,3.5344428730938677,3.011027575102813,yes,18-34,college,50000-99999
5,2011,3,natural and human,happening,3,2,2,2,3,3,3,-1,-1,-1,2,male,2,2,3,white non hisp,moderate democrate,west,Not working –retired,2.4649428330089105,1.9941378350020338,yes,35-54,highschool,more 100000
5,2011,1,human,disagreement,1,1,1,1,2,2,2,1,1,1,4,male,1,4,2,white non hisp,conservative republican,south,Working –as a paid employee,1.0084152599267189,1.1102728790925112,no,18-34,bachelor or higher,50000-99999
5,2011,3,natural,disagreement,3,3,3,3,3,4,6,3,2,3,3,female,3,2,1,white non hisp,moderate democrate,northeast,Working –as a paid employee,3.2222844870118292,2.9359807945627683,yes,55+,highschool,less 50000
5,2011,3,natural and human,happening,4,3,4,4,4,4,6,4,4,4,4,female,2,4,1,white non hisp,moderate democrate,northeast,Working –as a paid employee,3.2339568006225368,4.164925968300153,yes,35-54,bachelor or higher,less 50000
5,2011,3,natural and human,not happening,4,2,4,4,4,4,6,4,3,4,3,female,2,4,3,hisp,liberal democrat,midwest,Working –self-employe,2.3516953366863387,3.5500023507889216,yes,35-54,bachelor or higher,more 100000
5,2011,1,not happening,not happening,1,0,0,0,0,0,1,2,2,3,1,male,1,2,2,white non hisp,conservative republican,midwest,Working –as a paid employee,1.2717912437415015,1.300988188981547,no,18-34,highschool,50000-99999
5,2011,2,natural,dont know,3,2,3,3,3,3,4,3,3,3,1,female,1,3,1,hisp,no interest,west,Working –as a paid employee,1.4362141036883354,2.543282595578193,dont know,18-34,college,less 50000
5,2011,3,natural,happening,3,2,2,2,2,2,2,2,2,2,2,female,2,4,3,white non hisp,conservative republican,northeast,Working –as a paid employee,3.7185503795695176,2.6172052082573183,yes,35-54,bachelor or higher,more 100000
5,2011,3,human,disagreement,2,3,3,4,4,4,5,3,2,3,2,female,2,3,1,white non hisp,moderate democrate,south,Working –self-employe,3.771302046087828,1.8677039601011074,yes,35-54,college,less 50000
5,2011,1,natural,disagreement,2,1,2,0,3,4,2,2,2,2,2,male,2,3,1,white non hisp,conservative republican,midwest,Working –self-employe,0.6186275114066708,2.7881588419377015,no,35-54,college,less 50000
5,2011,3,natural and human,happening,3,2,3,3,4,3,6,3,4,4,3,male,3,3,3,white non hisp,liberal democrat,west,Not working –retired,2.6488093370586423,3.4724991374486356,yes,55+,college,more 100000
5,2011,2,natural,disagreement,2,0,0,0,0,0,2,3,2,3,1,male,3,4,3,black non hisp,independent,south,Working –as a paid employee,2.042722878134423,1.9791029978693506,dont know,55+,bachelor or higher,more 100000
5,2011,3,natural and human,happening,4,2,4,4,4,4,6,4,2,3,2,female,2,4,2,white non hisp,liberal democrat,west,Working –as a paid employee,3.587579616947672,3.6492649561555215,yes,35-54,bachelor or higher,50000-99999
5,2011,2,other,dont know,2,0,0,0,0,3,1,2,2,2,1,female,1,4,2,hisp,no interest,west,Working –as a paid employee,0.8959730995920423,1.9376936425397289,dont know,18-34,bachelor or higher,50000-99999
5,2011,3,natural and human,disagreement,2,2,3,3,3,3,4,4,4,3,1,male,2,2,1,white non hisp,moderate democrate,south,Not working –other,3.130893696351358,2.0108200447581046,yes,35-54,highschool,less 50000
5,2011,3,natural,happening,2,-1,1,1,1,1,1,4,4,4,2,male,3,3,2,white non hisp,independent,northeast,Not working –retired,1.7907174445672036,2.2868186442486027,yes,55+,college,50000-99999
5,2011,3,natural,disagreement,3,1,3,3,4,4,3,3,3,3,3,female,1,2,2,white non hisp,moderate republican,south,Working –as a paid employee,2.0446152516031693,2.7979920677574786,yes,18-34,highschool,50000-99999
5,2011,2,natural and human,happening,3,3,3,3,3,3,3,-1,-1,-1,3,female,1,4,2,white non hisp,refused,northeast,Working –as a paid employee,3.0517001521868767,3.902756470236838,dont know,18-34,bachelor or higher,50000-99999
5,2011,3,natural,dont know,3,2,2,2,2,2,4,3,3,3,1,female,2,2,1,white non hisp,moderate democrate,midwest,Working –self-employe,3.020497009458894,2.54258045180955,yes,35-54,highschool,less 50000
5,2011,1,natural,not happening,2,2,3,3,3,3,1,3,3,3,2,female,1,3,3,white non hisp,conservative republican,south,Working –as a paid employee,0.6718773544750999,2.3333983094154545,no,18-34,college,more 100000
5,2011,3,natural and human,happening,4,0,3,-1,4,4,5,3,2,3,2,male,1,1,1,white non hisp,independent,south,Working –as a paid employee,3.1422236185610086,3.6353194830553117,yes,18-34,no highschool,less 50000
5,2011,2,natural,dont know,2,0,0,0,0,0,4,3,4,4,2,female,1,2,1,white non hisp,moderate republican,south,Not working –looking,2.180765630164853,2.225640132866357,dont know,18-34,highschool,less 50000
5,2011,3,natural and human,happening,1,1,1,1,2,2,1,1,1,4,3,male,2,4,1,white non hisp,conservative republican,midwest,Not working –other,2.8265356221997062,1.0900277064606616,yes,35-54,bachelor or higher,less 50000
5,2011,3,natural,happening,2,0,0,0,0,0,4,3,3,3,1,male,3,1,1,black non hisp,liberal democrat,midwest,Not working –retired,2.744755847473441,2.0833311783843076,yes,55+,no highschool,less 50000
5,2011,1,not happening,disagreement,1,1,1,1,1,1,1,1,1,3,3,female,2,3,1,white non hisp,conservative republican,midwest,Working –as a paid employee,0.9208956111307691,1.0931553893976944,no,35-54,college,less 50000
5,2011,1,natural,disagreement,3,3,1,3,0,1,4,2,2,2,2,female,1,2,1,hisp,moderate republican,west,Working –as a paid employee,0.6627626880408586,3.706436755921157,no,18-34,highschool,less 50000
5,2011,1,natural and human,disagreement,2,1,1,1,1,1,2,2,2,1,2,female,2,3,1,white non hisp,moderate republican,midwest,Working –as a paid employee,0.38381603006535336,2.268525456511893,no,35-54,college,less 50000
5,2011,3,natural and human,happening,3,2,2,3,4,4,3,4,4,4,3,male,1,4,2,white non hisp,liberal democrat,west,Working –as a paid employee,3.3440234813241867,2.5117377738450775,yes,18-34,bachelor or higher,50000-99999
5,2011,3,natural,dont know,3,3,3,3,3,3,5,1,1,1,1,female,1,2,3,black non hisp,no interest,midwest,Working –self-employe,3.2088939262752976,4.110340148416546,yes,18-34,highschool,more 100000
5,2011,2,natural,disagreement,2,1,1,2,2,2,2,3,3,3,3,female,2,4,3,white non hisp,no interest,northeast,Not working –looking,1.375298481102532,2.4849099341372427,dont know,35-54,bachelor or higher,more 100000
5,2011,2,natural and human,dont know,3,0,0,0,0,0,3,2,3,2,2,male,1,3,2,hisp,moderate democrate,west,Not working –looking,2.181733903464538,3.5499223491463954,dont know,18-34,college,50000-99999
5,2011,3,natural and human,dont know,2,2,2,3,3,3,6,3,2,3,1,male,1,2,1,white non hisp,moderate democrate,south,Working –as a paid employee,3.403135541493237,2.0007673076366013,yes,18-34,highschool,less 50000
5,2011,3,natural and human,happening,4,4,4,4,4,4,2,4,4,4,3,female,1,1,1,hisp,moderate democrate,northeast,Not working –other,3.1827075268573957,4.757004464477808,yes,18-34,no highschool,less 50000
5,2011,3,natural and human,disagreement,2,1,3,4,4,4,4,3,3,4,3,female,1,4,3,white non hisp,liberal democrat,midwest,Not working –other,1.4300788849583934,1.2340390889756145,yes,18-34,bachelor or higher,more 100000
5,2011,3,natural and human,happening,3,2,3,3,4,4,6,4,4,4,2,female,3,4,3,black non hisp,moderate democrate,northeast,Working –as a paid employee,3.3765604110300638,2.4371049703812417,yes,55+,bachelor or higher,more 100000
5,2011,3,natural,dont know,2,3,3,3,4,3,-1,2,3,3,1,female,3,2,2,white non hisp,conservative republican,midwest,Working –as a paid employee,3.3634428076838137,2.13837473854936,yes,55+,highschool,50000-99999
5,2011,3,natural and human,happening,3,0,4,4,4,4,5,4,3,4,2,female,1,1,1,hisp,liberal democrat,northeast,Not working –looking,3.1195190129172827,3.0506327240332896,yes,18-34,no highschool,less 50000
5,2011,2,natural,disagreement,2,1,1,1,0,0,2,3,3,4,1,female,1,4,1,white non hisp,conservative republican,northeast,Working –as a paid employee,1.6927362156137231,1.6218664040711341,dont know,18-34,bachelor or higher,less 50000
5,2011,2,natural,dont know,2,2,2,2,2,2,2,2,2,2,1,female,1,2,2,white non hisp,conservative republican,south,Not working –other,2.262614752542004,1.9968593741640166,dont know,18-34,highschool,50000-99999
5,2011,3,natural and human,dont know,3,3,4,2,4,4,6,1,2,4,1,female,1,1,1,white non hisp,no interest,south,Not working –other,3.0954065305694343,2.753950294172101,yes,18-34,no highschool,less 50000
5,2011,3,natural,disagreement,3,2,2,3,3,3,6,3,2,3,3,female,3,4,3,white non hisp,moderate republican,northeast,Not working –retired,2.9805053277508096,2.4583748101079017,yes,55+,bachelor or higher,more 100000
5,2011,3,natural and human,disagreement,3,3,4,4,4,4,3,3,4,4,2,female,1,3,3,white non hisp,moderate republican,midwest,Working –as a paid employee,2.9412814991327116,3.558780750652369,yes,18-34,college,more 100000
5,2011,3,natural and human,happening,3,1,1,3,4,4,3,3,3,3,2,male,1,4,1,white non hisp,liberal democrat,south,Working –as a paid employee,2.038226830794379,2.7680032737109816,yes,18-34,bachelor or higher,less 50000
5,2011,1,natural,disagreement,1,1,1,1,1,1,1,2,2,2,2,female,1,2,1,other non hisp,moderate republican,south,Working –as a paid employee,0.589203060255616,0.3796195125678219,no,18-34,highschool,less 50000
5,2011,3,natural and human,happening,3,2,3,3,4,4,6,4,3,4,3,female,3,4,1,white non hisp,liberal democrat,south,Working –as a paid employee,3.4886178562562797,2.5671007363301204,yes,55+,bachelor or higher,less 50000
5,2011,3,natural and human,dont know,1,1,1,1,4,1,2,2,2,2,2,female,1,2,1,white non hisp,no interest,west,Working –as a paid employee,2.953868634591989,1.7408314499009008,yes,18-34,highschool,less 50000
5,2011,3,natural,dont know,3,3,3,3,3,3,6,4,4,4,2,male,2,1,2,hisp,no interest,midwest,Working –as a paid employee,3.3078871401106853,2.546204571388989,yes,35-54,no highschool,50000-99999
